year,name,sumrelig,pop,religions,relpop
1955,POL,27078610,27281000,chrstgen,25934561
1960,POL,29297737,29561000,chrstgen,28166330
1965,POL,31217916,31496000,chrstgen,30108152
1970,POL,32523884,32526000,chrstgen,31507995
1975,POL,34016286,34022000,chrstgen,32993696
1980,POL,35577994,35578000,chrstgen,34508703
1985,POL,37009915,37203000,chrstgen,35949899
1990,POL,38101640,38119000,chrstgen,37050000
1995,POL,38554700,38588000,chrstgen,37293803
2000,POL,38573360,38765000,chrstgen,36631210
2005,POL,38062939,38161000,chrstgen,35958000
2010,POL,37602462,38182920,chrstgen,34539629
1955,AUS,6920867,6947000,chrstgen,6644938
1960,AUS,7010360,7048000,chrstgen,6733738
1965,AUS,7208597,7271000,chrstgen,6907450
1970,AUS,7464786,7467000,chrstgen,7128757
1975,AUS,7565689,7579000,chrstgen,7167587
1980,AUS,7357455,7555338,chrstgen,6821354
1985,AUS,7575497,7578000,chrstgen,7027742
1990,AUS,7264611,7729000,chrstgen,6433500
1995,AUS,7963018,8047000,chrstgen,6996880
2000,AUS,7785425,8211000,chrstgen,6445987
2005,AUS,7805302,8233000,chrstgen,6285258
2010,AUS,7825183,8389771,chrstgen,6124531
1945,HUN,8985500,9024000,chrstgen,8107212
1950,HUN,9276287,9341000,chrstgen,8392007
1955,HUN,9820285,9825000,chrstgen,8727750
1960,HUN,9924374,9984000,chrstgen,8765444
1965,HUN,10079535,10153000,chrstgen,8773090
1970,HUN,10254349,10337000,chrstgen,8697982
1975,HUN,10272934,10532000,chrstgen,8552839
1980,HUN,10308121,10707000,chrstgen,8424299
1985,HUN,10343307,10579000,chrstgen,8295758
1990,HUN,10265050,10365000,chrstgen,8053776
1995,HUN,10141878,10229000,chrstgen,7811791
2000,HUN,9543681,10036000,chrstgen,7462967
2005,HUN,9458522,10087000,chrstgen,7066031
2010,HUN,9373365,9900000,chrstgen,6669095
1945,CZE,14148755,14150000,chrstgen,10593255
1950,CZE,12342600,12389000,chrstgen,10171330
1955,CZE,13062765,13093000,chrstgen,10280735
1960,CZE,13610628,13654000,chrstgen,10446458
1965,CZE,14107523,14159000,chrstgen,10552773
1970,CZE,14321198,14334000,chrstgen,10866560
1975,CZE,14747830,14802000,chrstgen,11183600
1980,CZE,15235605,15311000,chrstgen,11550840
1985,CZE,15444240,15499000,chrstgen,11406000
1990,CZE,15619863,15661000,chrstgen,11078173
1995,CZR,9917951,10331000,chrstgen,3076314
2000,CZR,9162038,10244000,chrstgen,3098330
2005,CZR,9701703,10234000,chrstgen,2675520
2010,CZR,10241372,10535111,chrstgen,2252712
1995,SLO,4424361,5364000,chrstgen,3899119
2000,SLO,5220579,5387000,chrstgen,4519352
2005,SLO,5025224,5387000,chrstgen,4307433
2010,SLO,4836229,5434143,chrstgen,4101842
1945,ITA,45080613,45090000,chrstgen,44270236
1950,ITA,47101559,47104000,chrstgen,45424648
1955,ITA,48628670,48633000,chrstgen,45953201
1960,ITA,50195781,50200000,chrstgen,46481754
1965,ITA,52111891,52112000,chrstgen,47010307
1970,ITA,53810000,53822000,chrstgen,47538860
1975,ITA,55081606,55441000,chrstgen,48144033
1980,ITA,56363214,56434000,chrstgen,48759207
1985,ITA,57124754,57141000,chrstgen,48854380
1990,ITA,57642476,57661000,chrstgen,48669553
1995,ITA,57253976,57301000,chrstgen,47718067
2000,ITA,57196436,57298000,chrstgen,48955835
2005,ITA,58011000,58607000,chrstgen,50346000
2010,ITA,60152338,60483224,chrstgen,48018881
1995,SNM,24751,25000,chrstgen,22799
2000,SNM,26900,27000,chrstgen,25650
2005,SNM,30937,31000,chrstgen,29450
2010,SNM,31840,32544,chrstgen,28088
1965,MLT,318994,319000,chrstgen,317435
1970,MLT,302998,303000,chrstgen,301304
1975,MLT,303435,304000,chrstgen,301594
1980,MLT,322141,324000,chrstgen,320154
1985,MLT,336776,340000,chrstgen,334627
1990,MLT,353700,354000,chrstgen,350140
1995,MLT,370371,371000,chrstgen,365041
2000,MLT,379923,389000,chrstgen,371280
2005,MLT,397794,404000,chrstgen,387285
2010,MLT,412235,412911,chrstgen,401633
1945,ALB,1121284,1122000,chrstgen,375404
1950,ALB,1214998,1215000,chrstgen,410000
1955,ALB,1376136,1379000,chrstgen,434972
1960,ALB,1610836,1611000,chrstgen,452338
1965,ALB,1866973,1870000,chrstgen,499003
1970,ALB,2135932,2136000,chrstgen,589599
1975,ALB,2400998,2401000,chrstgen,701151
1980,ALB,2669833,2670000,chrstgen,814313
1985,ALB,2954070,2957000,chrstgen,881265
1990,ALB,3241479,3256000,chrstgen,976398
1995,ALB,3608370,3609000,chrstgen,1049187
2000,ALB,3112757,3113000,chrstgen,715990
2005,ALB,3121702,3142000,chrstgen,837479
2010,ALB,3186987,3195525,chrstgen,685221
2010,MNG,626810,629517,chrstgen,478002
1995,MAC,1962827,1963000,chrstgen,1216107
2000,MAC,2023157,2024000,chrstgen,1318658
2005,MAC,2038201,2038500,chrstgen,1314733
2010,MAC,2053246,2056617,chrstgen,1310808
1995,CRO,4616593,4669000,chrstgen,4188925
2000,CRO,4413452,4473000,chrstgen,4154923
2005,CRO,4385586,4442000,chrstgen,4098533
2010,CRO,4357721,4424161,chrstgen,4042145
1945,YUG,14772647,14840000,chrstgen,11967671
1950,YUG,16241148,16346000,chrstgen,12701040
1955,YUG,17439150,17519000,chrstgen,13123139
1960,YUG,18401043,18402000,chrstgen,13994835
1965,YUG,19483168,19485000,chrstgen,14949764
1970,YUG,20369632,20371000,chrstgen,15796983
1975,YUG,21268787,21352000,chrstgen,16458311
1980,YUG,22249944,22304000,chrstgen,17319639
1985,YUG,23110219,23124000,chrstgen,17437387
1990,YUG,23775179,23818000,chrstgen,17356386
1995,YUG,10530029,10547000,chrstgen,7885123
2000,YUG,10568944,10640000,chrstgen,9757747
2005,YUG,7728041,7780000,chrstgen,7134892
2010,YUG,7264444,7292990,chrstgen,6652741
1995,BOS,4319488,4484000,chrstgen,2286840
2000,BOS,3877837,3972000,chrstgen,1986000
2005,BOS,3842966,3843000,chrstgen,1987185
2010,BOS,3822098,3823795,chrstgen,1988372
2010,KOS,1732012,1733872,chrstgen,64054
1995,SLV,1971981,1988000,chrstgen,1780836
2000,SLV,1830597,1986000,chrstgen,1580712
2005,SLV,1880644,2001000,chrstgen,1478349
2010,SLV,1930694,2053714,chrstgen,1375987
1945,GRC,7299942,7300000,chrstgen,7218442
1950,GRC,7558982,7566000,chrstgen,7439871
1955,GRC,7964087,7966000,chrstgen,7843845
1960,GRC,8326195,8327000,chrstgen,8204821
1965,GRC,8549989,8550000,chrstgen,8416821
1970,GRC,8789011,8793000,chrstgen,8648876
1975,GRC,9021226,9047000,chrstgen,8867546
1980,GRC,9625666,9643000,chrstgen,9467466
1985,GRC,9881640,9934000,chrstgen,9635980
1990,GRC,10124180,10161000,chrstgen,9754560
1995,GRC,10452564,10454000,chrstgen,10021758
2000,GRC,10591773,10645000,chrstgen,10176670
2005,GRC,11078220,11104000,chrstgen,10580420
2010,GRC,11255596,11319288,chrstgen,10682948
1960,CYP,557000,573000,chrstgen,452000
1965,CYP,586000,591000,chrstgen,474000
1970,CYP,582821,604000,chrstgen,458383
1975,CYP,598070,610000,chrstgen,471111
1980,CYP,610990,611000,chrstgen,481510
1985,CYP,638530,647000,chrstgen,494760
1990,CYP,653220,681000,chrstgen,505680
1995,CYP,700489,733000,chrstgen,519135
2000,CYP,774183,786000,chrstgen,559042
2005,CYP,779775,798000,chrstgen,576604
2010,CYP,797876,813958,chrstgen,606674
1945,BUL,6938349,6940000,chrstgen,5948011
1950,BUL,7250846,7251000,chrstgen,6063779
1955,BUL,7498023,7499000,chrstgen,5989532
1960,BUL,7865039,7867000,chrstgen,6011123
1965,BUL,8191057,8201000,chrstgen,5853578
1970,BUL,8473572,8490000,chrstgen,5997430
1975,BUL,8684013,8721000,chrstgen,6304622
1980,BUL,8849125,8862000,chrstgen,6719485
1985,BUL,8846981,8960000,chrstgen,6521083
1990,BUL,8906158,8991000,chrstgen,6884000
1995,BUL,8352836,8406000,chrstgen,6629941
2000,BUL,8204163,8225000,chrstgen,6876100
2005,BUL,7732427,7740000,chrstgen,6403059
2010,BUL,7536793,7543557,chrstgen,6206119
1995,MLD,4347517,4348000,chrstgen,4122440
2000,MLD,4340700,4380000,chrstgen,4125000
2005,MLD,3781541,3820000,chrstgen,3318141
2010,MLD,3561200,3562158,chrstgen,2925500
1945,ROM,13615429,13680000,chrstgen,12996000
1950,ROM,16303649,16311000,chrstgen,15516103
1955,ROM,17317817,17325000,chrstgen,16266101
1960,ROM,18361385,18403000,chrstgen,17016099
1965,ROM,19002951,19027000,chrstgen,17631097
1970,ROM,20251649,20253000,chrstgen,18516094
1975,ROM,21206585,21245000,chrstgen,19180047
1980,ROM,22001060,22201000,chrstgen,19798540
1985,ROM,22714040,22725000,chrstgen,20641540
1990,ROM,23202849,23207000,chrstgen,21180551
1995,ROM,22668236,22681000,chrstgen,21446333
2000,ROM,22289634,22327000,chrstgen,21984877
2005,ROM,21752357,21800000,chrstgen,21407729
2010,ROM,21344022,21433182,chrstgen,20899522
1945,RUS,177021948,177300000,chrstgen,59509308
1950,RUS,179975712,180075000,chrstgen,61415885
1955,RUS,195981743,196159000,chrstgen,65757632
1960,RUS,212389457,214329000,chrstgen,70501062
1965,RUS,225261140,230936000,chrstgen,74134211
1970,RUS,238132822,242767000,chrstgen,77767360
1975,RUS,246937723,254469000,chrstgen,75435002
1980,RUS,255742626,265484000,chrstgen,73102643
1985,RUS,266071772,277334000,chrstgen,70771650
1990,RUS,272646018,281344000,chrstgen,68566005
1995,RUS,142668692,147774000,chrstgen,32225158
2000,RUS,146774856,146934000,chrstgen,105985210
2005,RUS,142821760,143114000,chrstgen,103229800
2010,RUS,142373556,142400000,chrstgen,105697556
1995,EST,1449226,1484000,chrstgen,647267
2000,EST,1168336,1396000,chrstgen,401015
2005,EST,1242083,1346000,chrstgen,390579
2010,EST,1315832,1339974,chrstgen,380141
1995,LAT,2509008,2516000,chrstgen,1359175
2000,LAT,2342495,2357000,chrstgen,1285590
2005,LAT,2281067,2301000,chrstgen,1324373
2010,LAT,2229106,2242818,chrstgen,1772369
1995,LIT,3708140,3715000,chrstgen,3172884
2000,LIT,3601163,3670000,chrstgen,3115606
2005,LIT,3394996,3414000,chrstgen,2935356
2010,LIT,3268834,3321032,chrstgen,2755107
1995,UKR,51275224,51277000,chrstgen,39860991
2000,UKR,50431672,50456000,chrstgen,41626200
2005,UKR,47739912,47821000,chrstgen,39703750
2010,UKR,45965669,46005476,chrstgen,39196664
1995,BLR,10155824,10281000,chrstgen,7159892
2000,BLR,10233580,10236000,chrstgen,5989515
2005,BLR,9757200,9775000,chrstgen,4892500
2010,BLR,9325852,9490500,chrstgen,5394257
1995,ARM,3758263,3759000,chrstgen,3288527
2000,ARM,3516513,3520000,chrstgen,3416610
2005,ARM,3206261,3218000,chrstgen,3054651
2010,ARM,3242714,3245781,chrstgen,3086654
1995,GRG,5415935,5417000,chrstgen,4581948
2000,GRG,4954540,4968000,chrstgen,4406616
2005,GRG,4484065,4500000,chrstgen,3851060
2010,GRG,4418058,4452394,chrstgen,3553010
1995,AZE,7484846,7487000,chrstgen,291437
2000,AZE,7664559,7734000,chrstgen,236459
2005,AZE,8369820,8392000,chrstgen,228500
2010,AZE,8996434,9047615,chrstgen,218200
1945,FIN,3819688,3820000,chrstgen,3738694
1950,FIN,4004481,4009000,chrstgen,3888684
1955,FIN,4190393,4235000,chrstgen,4031299
1960,FIN,4372252,4430000,chrstgen,4169858
1965,FIN,4554106,4564000,chrstgen,4308416
1970,FIN,4576025,4606000,chrstgen,4323418
1975,FIN,4657529,4711000,chrstgen,4342197
1980,FIN,4745650,4780000,chrstgen,4367880
1985,FIN,4859911,4902000,chrstgen,4410722
1990,FIN,4960284,4986000,chrstgen,4437525
1995,FIN,5082000,5108000,chrstgen,4444851
2000,FIN,5160588,5176000,chrstgen,4468908
2005,FIN,5228925,5246000,chrstgen,4422378
2010,FIN,5185766,5363908,chrstgen,4258941
1945,SWD,6617538,6640000,chrstgen,6404458
1950,SWD,7023444,7047000,chrstgen,6657000
1955,SWD,7228291,7262000,chrstgen,6923500
1960,SWD,7449927,7480000,chrstgen,7211000
1965,SWD,7730814,7734000,chrstgen,7406710
1970,SWD,8031779,8043000,chrstgen,7610420
1975,SWD,8184699,8193000,chrstgen,7664397
1980,SWD,8304029,8310000,chrstgen,7714093
1985,SWD,8349821,8350000,chrstgen,7739016
1990,SWD,8528746,8559000,chrstgen,7833833
1995,SWD,8808924,8831000,chrstgen,7933826
2000,SWD,8905374,8910000,chrstgen,7734793
2005,SWD,9017650,9030000,chrstgen,7630100
2010,SWD,9216979,9379022,chrstgen,7133814
1945,NOR,3074996,3075000,chrstgen,3051167
1950,NOR,3264958,3265000,chrstgen,3240433
1955,NOR,3404638,3427000,chrstgen,3333509
1960,NOR,3537755,3581000,chrstgen,3426585
1965,NOR,3672975,3723000,chrstgen,3519138
1970,NOR,3828982,3877000,chrstgen,3590168
1975,NOR,3956941,4007000,chrstgen,3623033
1980,NOR,4044142,4086000,chrstgen,3655897
1985,NOR,4119437,4153000,chrstgen,3713291
1990,NOR,4205011,4241000,chrstgen,3819633
1995,NOR,4282675,4359000,chrstgen,3962924
2000,NOR,4390600,4465000,chrstgen,3956900
2005,NOR,4608337,4623000,chrstgen,4168814
2010,NOR,4764758,4885082,chrstgen,4103723
1945,DEN,4007701,4040000,chrstgen,3986493
1950,DEN,4268995,4270000,chrstgen,4232956
1955,DEN,4438745,4439000,chrstgen,4384058
1960,DEN,4580495,4581000,chrstgen,4522160
1965,DEN,4757849,4758000,chrstgen,4676866
1970,DEN,4928699,4929000,chrstgen,4824090
1975,DEN,4999537,5060000,chrstgen,4804803
1980,DEN,5008178,5123000,chrstgen,4783315
1985,DEN,5055256,5114000,chrstgen,4780328
1990,DEN,5105732,5140000,chrstgen,4777340
1995,DEN,5195630,5228000,chrstgen,4703433
2000,DEN,5170941,5293000,chrstgen,4551334
2005,DEN,5227868,5416000,chrstgen,4544945
2010,DEN,5317051,5539634,chrstgen,4527237
1945,ICE,128897,129000,chrstgen,126571
1950,ICE,142936,143000,chrstgen,140694
1955,ICE,157839,158000,chrstgen,155678
1960,ICE,175980,176000,chrstgen,173900
1965,ICE,190323,192000,chrstgen,188324
1970,ICE,203337,204000,chrstgen,200685
1975,ICE,217935,218000,chrstgen,214986
1980,ICE,227847,228000,chrstgen,224507
1985,ICE,237879,241000,chrstgen,234000
1990,ICE,250578,255000,chrstgen,246069
1995,ICE,262393,267000,chrstgen,257027
2000,ICE,275807,281000,chrstgen,268427
2005,ICE,287009,296000,chrstgen,277615
2010,ICE,304842,316821,chrstgen,290063
1975,CAP,296625,297000,chrstgen,292500
1980,CAP,294576,296000,chrstgen,289800
1985,CAP,331459,333000,chrstgen,325900
1990,CAP,340960,341000,chrstgen,327320
1995,CAP,385927,386000,chrstgen,368620
2000,CAP,427051,428000,chrstgen,406199
2005,CAP,458186,460000,chrstgen,438406
2010,CAP,474531,475000,chrstgen,450220
1975,STP,79000,83000,chrstgen,76950
1980,STP,93765,94000,chrstgen,91340
1985,STP,101780,102000,chrstgen,98980
1990,STP,114500,115000,chrstgen,110000
1995,STP,121715,122000,chrstgen,116795
2000,STP,138990,147000,chrstgen,129632
2005,STP,148112,149000,chrstgen,139070
2010,STP,162539,162915,chrstgen,153810
1975,GNB,626852,627000,chrstgen,66700
1980,GNB,777620,781000,chrstgen,97160
1985,GNB,868955,869000,chrstgen,112970
1990,GNB,958180,964000,chrstgen,115320
1995,GNB,1066048,1069000,chrstgen,142554
2000,GNB,1212420,1213000,chrstgen,145500
2005,GNB,1318676,1326000,chrstgen,158866
2010,GNB,1476885,1477784,chrstgen,160848
1970,EQG,290973,291000,chrstgen,256908
1975,EQG,222870,225000,chrstgen,197199
1980,EQG,216320,217000,chrstgen,190770
1985,EQG,308515,312000,chrstgen,284570
1990,EQG,347110,348000,chrstgen,318600
1995,EQG,373784,379000,chrstgen,339545
2000,EQG,452931,453000,chrstgen,394530
2005,EQG,603329,609000,chrstgen,526785
2010,EQG,690349,698295,chrstgen,622914
1965,GAM,403875,404000,chrstgen,12997
1970,GAM,461991,462000,chrstgen,14576
1975,GAM,522903,524000,chrstgen,18347
1980,GAM,599473,601000,chrstgen,22100
1985,GAM,747317,775000,chrstgen,31238
1990,GAM,920760,921000,chrstgen,37260
1995,GAM,1106282,1111000,chrstgen,44806
2000,GAM,1297686,1305000,chrstgen,39687
2005,GAM,1433680,1436000,chrstgen,45673
2010,GAM,1716661,1720403,chrstgen,74920
1960,MLI,4287777,4375000,chrstgen,51138
1965,MLI,4653858,4654000,chrstgen,62999
1970,MLI,5482324,5484000,chrstgen,77611
1975,MLI,5597002,5614000,chrstgen,96782
1980,MLI,7094170,7095000,chrstgen,181800
1985,MLI,7488664,7566000,chrstgen,168900
1990,MLI,8155145,8156000,chrstgen,156000
1995,MLI,10763529,10795000,chrstgen,222939
2000,MLI,11232532,11234000,chrstgen,368900
2005,MLI,11694780,11732000,chrstgen,325211
2010,MLI,13567770,13568961,chrstgen,407068
1960,SEN,3492961,3578000,chrstgen,148162
1965,SEN,3901815,3919000,chrstgen,184398
1970,SEN,4296524,4396000,chrstgen,229500
1975,SEN,4960996,4974000,chrstgen,257564
1980,SEN,5669905,5693000,chrstgen,285630
1985,SEN,6894214,6908000,chrstgen,320000
1990,SEN,7293303,7298000,chrstgen,400000
1995,SEN,8268829,8347000,chrstgen,411998
2000,SEN,9437652,9481000,chrstgen,377758
2005,SEN,10843559,10848000,chrstgen,433919
2010,SEN,12054458,12084098,chrstgen,421345
1960,BEN,2234708,2237000,chrstgen,338401
1965,BEN,2156942,2162000,chrstgen,316746
1970,BEN,2716898,2718000,chrstgen,491007
1975,BEN,3103155,3112000,chrstgen,653652
1980,BEN,3385820,3462000,chrstgen,816300
1985,BEN,4058900,4059000,chrstgen,1014750
1990,BEN,4714420,4739000,chrstgen,1306920
1995,BEN,5355010,5412000,chrstgen,1837275
2000,BEN,6023704,6097000,chrstgen,2635093
2005,BEN,7383059,7395000,chrstgen,3161071
2010,BEN,8630919,8785996,chrstgen,3514394
1960,MAA,987039,991000,chrstgen,5868
1965,MAA,1091391,1096000,chrstgen,6257
1970,MAA,1220999,1221000,chrstgen,6674
1975,MAA,1365253,1371000,chrstgen,7116
1980,MAA,1543990,1551000,chrstgen,7560
1985,MAA,1758230,1766000,chrstgen,8245
1990,MAA,1995250,2003000,chrstgen,8930
1995,MAA,2283913,2284000,chrstgen,8088
2000,MAA,2625515,2670000,chrstgen,7248
2005,MAA,2815416,2906000,chrstgen,7489
2010,MAA,3241995,3311512,chrstgen,8718
1960,NIR,3020384,3028000,chrstgen,10000
1965,NIR,3510868,3513000,chrstgen,12780
1970,NIR,4022618,4024000,chrstgen,15562
1975,NIR,4589818,4600000,chrstgen,19999
1980,NIR,5561686,5586000,chrstgen,24640
1985,NIR,6589079,6608000,chrstgen,45020
1990,NIR,7724109,7731000,chrstgen,65400
1995,NIR,9110497,9151000,chrstgen,52829
2000,NIR,10713755,10730000,chrstgen,379700
2005,NIR,12614534,12628000,chrstgen,446864
2010,NIR,14927242,14988429,chrstgen,584548
1960,CDI,3762100,3799000,chrstgen,412660
1965,CDI,4470666,4527000,chrstgen,783080
1970,CDI,5514253,5515000,chrstgen,1372707
1975,CDI,6753713,6755000,chrstgen,1940779
1980,CDI,8189888,8194000,chrstgen,2508854
1985,CDI,9897539,9933000,chrstgen,3076927
1990,CDI,11646361,11717000,chrstgen,3444889
1995,CDI,13993360,14230000,chrstgen,4293224
2000,CDI,14701583,14786000,chrstgen,4152993
2005,CDI,18702022,18750000,chrstgen,6091165
2010,CDI,21366842,21411568,chrstgen,8029336
1960,GUI,3262678,3272000,chrstgen,38998
1965,GUI,3385633,3510000,chrstgen,45435
1970,GUI,3884642,3900000,chrstgen,51872
1975,GUI,4146612,4149000,chrstgen,58435
1980,GUI,4452239,4461000,chrstgen,65000
1985,GUI,4651704,4661000,chrstgen,120000
1990,GUI,5749758,5755000,chrstgen,220000
1995,GUI,7344056,7349000,chrstgen,280000
2000,GUI,7402138,7430000,chrstgen,534351
2005,GUI,9203880,9221000,chrstgen,737678
2010,GUI,10225332,10238627,chrstgen,819087
1960,BFO,4117363,4123000,chrstgen,139000
1965,BFO,4549378,4566000,chrstgen,182639
1970,BFO,5055959,5056000,chrstgen,455200
1975,BFO,5566066,5599000,chrstgen,574300
1980,BFO,6908370,6909000,chrstgen,934700
1985,BFO,7857202,7886000,chrstgen,1300000
1990,BFO,8918650,9001000,chrstgen,1340000
1995,BFO,10113383,10200000,chrstgen,1601000
2000,BFO,11928901,11937000,chrstgen,2561541
2005,BFO,12800280,12802000,chrstgen,2891500
2010,BFO,15578850,15583968,chrstgen,4574351
1945,LBR,586560,606000,chrstgen,80000
1950,LBR,823995,824000,chrstgen,125989
1955,LBR,910142,914000,chrstgen,150000
1960,LBR,663900,666000,chrstgen,103560
1965,LBR,937926,965000,chrstgen,207634
1970,LBR,1243977,1264000,chrstgen,344710
1975,LBR,1547054,1563000,chrstgen,486204
1980,LBR,1858866,1862000,chrstgen,651700
1985,LBR,2152490,2161000,chrstgen,777960
1990,LBR,2400792,2407000,chrstgen,866520
1995,LBR,2718909,2760000,chrstgen,998800
2000,LBR,3148701,3154000,chrstgen,1230057
2005,LBR,3327190,3334000,chrstgen,2281310
2010,LBR,4166998,4167344,chrstgen,3542240
1965,SIE,2426345,2429000,chrstgen,159997
1970,SIE,2655942,2656000,chrstgen,223141
1975,SIE,2917114,2931000,chrstgen,258219
1980,SIE,3230290,3236000,chrstgen,305300
1985,SIE,3573450,3585000,chrstgen,354000
1990,SIE,3985150,3997000,chrstgen,452150
1995,SIE,4186132,4195000,chrstgen,419499
2000,SIE,4843128,4854000,chrstgen,856198
2005,SIE,5474440,5506000,chrstgen,1057208
2010,SIE,6105979,6139274,chrstgen,1169246
1960,GHA,6776196,6777000,chrstgen,2981878
1965,GHA,7826518,7831000,chrstgen,3668638
1970,GHA,8631599,8633000,chrstgen,4403670
1975,GHA,9817771,9826000,chrstgen,5100000
1980,GHA,10755751,10808000,chrstgen,5800000
1985,GHA,12715628,12717000,chrstgen,7100000
1990,GHA,15016640,15018000,chrstgen,8280300
1995,GHA,16910823,17338000,chrstgen,10150510
2000,GHA,19280792,20212000,chrstgen,10986230
2005,GHA,20389648,21343000,chrstgen,12666130
2010,GHA,23814530,23997252,chrstgen,16879326
1960,TOG,1443396,1444000,chrstgen,354998
1965,TOG,1626801,1627000,chrstgen,469999
1970,TOG,1961355,1962000,chrstgen,546417
1975,TOG,2227829,2231000,chrstgen,753458
1980,TOG,2609500,2615000,chrstgen,960500
1985,TOG,3005360,3028000,chrstgen,1160360
1990,TOG,3508900,3524000,chrstgen,1467000
1995,TOG,4045492,4085000,chrstgen,1777899
2000,TOG,4602970,4629000,chrstgen,1917880
2005,TOG,5309419,5337000,chrstgen,2513727
2010,TOG,5808616,5827529,chrstgen,2797212
1960,CAO,5274983,5296000,chrstgen,1796004
1965,CAO,5848339,5881000,chrstgen,2010728
1970,CAO,6501292,6612000,chrstgen,2545924
1975,CAO,7421363,7526000,chrstgen,3270910
1980,CAO,8501143,8503000,chrstgen,3935900
1985,CAO,9823236,10166000,chrstgen,5077980
1990,CAO,11459074,11484000,chrstgen,6038000
1995,CAO,13254339,13277000,chrstgen,7036810
2000,CAO,15005557,15085000,chrstgen,7566370
2005,CAO,17780586,17823000,chrstgen,8938935
2010,CAO,19895148,19929964,chrstgen,9868484
1960,NIG,41954251,42305000,chrstgen,16521997
1965,NIG,47907604,48676000,chrstgen,18470398
1970,NIG,55058933,55070000,chrstgen,21788872
1975,NIG,62742057,62770000,chrstgen,27618798
